 Thu, 24 Sep 2020 16:23:47  INFO logger.py <module> [ line:20 ] hehehe
 Thu, 24 Sep 2020 16:23:55  INFO basepage.py wait_ele_visible [ line:48 ] 登陆页面_输入用户名 等待 ('xpath', '//input[@name="phone"]') 元素可见。
 Thu, 24 Sep 2020 16:23:55  INFO basepage.py get_element [ line:72 ] 在 登陆页面_输入用户名 查找元素：('xpath', '//input[@name="phone"]').
 Thu, 24 Sep 2020 16:23:55  INFO basepage.py input_text [ line:122 ] 在 登陆页面_输入用户名 往元素 ('xpath', '//input[@name="phone"]') 输入文本值：。
 Thu, 24 Sep 2020 16:23:55  INFO basepage.py wait_ele_visible [ line:48 ] 登陆页面_输入密码 等待 ('xpath', '//input[@name="password"]') 元素可见。
 Thu, 24 Sep 2020 16:23:55  INFO basepage.py get_element [ line:72 ] 在 登陆页面_输入密码 查找元素：('xpath', '//input[@name="password"]').
 Thu, 24 Sep 2020 16:23:55  INFO basepage.py input_text [ line:122 ] 在 登陆页面_输入密码 往元素 ('xpath', '//input[@name="password"]') 输入文本值：python。
 Thu, 24 Sep 2020 16:23:56  INFO basepage.py wait_ele_visible [ line:48 ] 登陆页面_点击登陆按钮 等待 ('tag name', 'button') 元素可见。
 Thu, 24 Sep 2020 16:23:56  INFO basepage.py get_element [ line:72 ] 在 登陆页面_点击登陆按钮 查找元素：('tag name', 'button').
 Thu, 24 Sep 2020 16:23:56  INFO basepage.py click_element [ line:110 ] 在 登陆页面_点击登陆按钮  点击 ('tag name', 'button') 元素。
 Thu, 24 Sep 2020 16:23:56  INFO basepage.py wait_ele_visible [ line:48 ] 登陆页面_等待登陆表单的错误提示元素 等待 ('xpath', '//div[@class="form-error-info"]') 元素可见。
 Thu, 24 Sep 2020 16:23:56  INFO basepage.py get_elements [ line:89 ] 在 登陆页面_获取登陆表单的错误提示元素们 查找所有匹配的元素：('xpath', '//div[@class="form-error-info"]').
 Thu, 24 Sep 2020 16:24:08  INFO basepage.py wait_ele_visible [ line:48 ] 登陆页面_输入用户名 等待 ('xpath', '//input[@name="phone"]') 元素可见。
 Thu, 24 Sep 2020 16:24:08  INFO basepage.py get_element [ line:72 ] 在 登陆页面_输入用户名 查找元素：('xpath', '//input[@name="phone"]').
 Thu, 24 Sep 2020 16:24:08  INFO basepage.py input_text [ line:122 ] 在 登陆页面_输入用户名 往元素 ('xpath', '//input[@name="phone"]') 输入文本值：18684720553。
 Thu, 24 Sep 2020 16:24:09  INFO basepage.py wait_ele_visible [ line:48 ] 登陆页面_输入密码 等待 ('xpath', '//input[@name="password"]') 元素可见。
 Thu, 24 Sep 2020 16:24:09  INFO basepage.py get_element [ line:72 ] 在 登陆页面_输入密码 查找元素：('xpath', '//input[@name="password"]').
 Thu, 24 Sep 2020 16:24:09  INFO basepage.py input_text [ line:122 ] 在 登陆页面_输入密码 往元素 ('xpath', '//input[@name="password"]') 输入文本值：。
 Thu, 24 Sep 2020 16:24:09  INFO basepage.py wait_ele_visible [ line:48 ] 登陆页面_点击登陆按钮 等待 ('tag name', 'button') 元素可见。
 Thu, 24 Sep 2020 16:24:09  INFO basepage.py get_element [ line:72 ] 在 登陆页面_点击登陆按钮 查找元素：('tag name', 'button').
 Thu, 24 Sep 2020 16:24:09  INFO basepage.py click_element [ line:110 ] 在 登陆页面_点击登陆按钮  点击 ('tag name', 'button') 元素。
 Thu, 24 Sep 2020 16:24:09  INFO basepage.py wait_ele_visible [ line:48 ] 登陆页面_等待登陆表单的错误提示元素 等待 ('xpath', '//div[@class="form-error-info"]') 元素可见。
 Thu, 24 Sep 2020 16:24:09  INFO basepage.py get_elements [ line:89 ] 在 登陆页面_获取登陆表单的错误提示元素们 查找所有匹配的元素：('xpath', '//div[@class="form-error-info"]').
 Thu, 24 Sep 2020 16:24:20  INFO basepage.py wait_ele_visible [ line:48 ] 登陆页面_输入用户名 等待 ('xpath', '//input[@name="phone"]') 元素可见。
 Thu, 24 Sep 2020 16:24:20  INFO basepage.py get_element [ line:72 ] 在 登陆页面_输入用户名 查找元素：('xpath', '//input[@name="phone"]').
 Thu, 24 Sep 2020 16:24:20  INFO basepage.py input_text [ line:122 ] 在 登陆页面_输入用户名 往元素 ('xpath', '//input[@name="phone"]') 输入文本值：1868472055。
 Thu, 24 Sep 2020 16:24:20  INFO basepage.py wait_ele_visible [ line:48 ] 登陆页面_输入密码 等待 ('xpath', '//input[@name="password"]') 元素可见。
 Thu, 24 Sep 2020 16:24:21  INFO basepage.py get_element [ line:72 ] 在 登陆页面_输入密码 查找元素：('xpath', '//input[@name="password"]').
 Thu, 24 Sep 2020 16:24:21  INFO basepage.py input_text [ line:122 ] 在 登陆页面_输入密码 往元素 ('xpath', '//input[@name="password"]') 输入文本值：python。
 Thu, 24 Sep 2020 16:24:21  INFO basepage.py wait_ele_visible [ line:48 ] 登陆页面_点击登陆按钮 等待 ('tag name', 'button') 元素可见。
 Thu, 24 Sep 2020 16:24:21  INFO basepage.py get_element [ line:72 ] 在 登陆页面_点击登陆按钮 查找元素：('tag name', 'button').
 Thu, 24 Sep 2020 16:24:21  INFO basepage.py click_element [ line:110 ] 在 登陆页面_点击登陆按钮  点击 ('tag name', 'button') 元素。
 Thu, 24 Sep 2020 16:24:21  INFO basepage.py wait_ele_visible [ line:48 ] 登陆页面_等待登陆表单的错误提示元素 等待 ('xpath', '//div[@class="form-error-info"]') 元素可见。
 Thu, 24 Sep 2020 16:24:21  INFO basepage.py get_elements [ line:89 ] 在 登陆页面_获取登陆表单的错误提示元素们 查找所有匹配的元素：('xpath', '//div[@class="form-error-info"]').
 Thu, 24 Sep 2020 16:24:32  INFO basepage.py wait_ele_visible [ line:48 ] 登陆页面_输入用户名 等待 ('xpath', '//input[@name="phone"]') 元素可见。
 Thu, 24 Sep 2020 16:24:32  INFO basepage.py get_element [ line:72 ] 在 登陆页面_输入用户名 查找元素：('xpath', '//input[@name="phone"]').
 Thu, 24 Sep 2020 16:24:32  INFO basepage.py input_text [ line:122 ] 在 登陆页面_输入用户名 往元素 ('xpath', '//input[@name="phone"]') 输入文本值：18684720553。
 Thu, 24 Sep 2020 16:24:33  INFO basepage.py wait_ele_visible [ line:48 ] 登陆页面_输入密码 等待 ('xpath', '//input[@name="password"]') 元素可见。
 Thu, 24 Sep 2020 16:24:33  INFO basepage.py get_element [ line:72 ] 在 登陆页面_输入密码 查找元素：('xpath', '//input[@name="password"]').
 Thu, 24 Sep 2020 16:24:33  INFO basepage.py input_text [ line:122 ] 在 登陆页面_输入密码 往元素 ('xpath', '//input[@name="password"]') 输入文本值：python。
 Thu, 24 Sep 2020 16:24:33  INFO basepage.py wait_ele_visible [ line:48 ] 登陆页面_点击登陆按钮 等待 ('tag name', 'button') 元素可见。
 Thu, 24 Sep 2020 16:24:33  INFO basepage.py get_element [ line:72 ] 在 登陆页面_点击登陆按钮 查找元素：('tag name', 'button').
 Thu, 24 Sep 2020 16:24:33  INFO basepage.py click_element [ line:110 ] 在 登陆页面_点击登陆按钮  点击 ('tag name', 'button') 元素。
